Nr.   Classes Functions      NCSS  Javadocs Package
  1        74     36749    635396         0 randoop
    --------- --------- --------- ---------
           74     36749    635396         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00     74.00  36749.00 635396.00      0.00 | Project
              74.00  36749.00 635396.00      0.00 | Package
                       496.61   8586.43      0.00 | Class
                                  17.29      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
   90   12   2    0 randoop.RandoopTest4.test90()
   91   13   2    0 randoop.RandoopTest4.test91()
   92   16   2    0 randoop.RandoopTest4.test92()
   93   52   3    0 randoop.RandoopTest4.test93()
   94   11   2    0 randoop.RandoopTest4.test94()
   95   44   2    0 randoop.RandoopTest4.test95()
   96   11   2    0 randoop.RandoopTest4.test96()
   97   15   2    0 randoop.RandoopTest4.test97()
   98   12   2    0 randoop.RandoopTest4.test98()
   99   20   2    0 randoop.RandoopTest4.test99()
  100   20   2    0 randoop.RandoopTest4.test100()
  101   15   2    0 randoop.RandoopTest4.test101()
  102   16   2    0 randoop.RandoopTest4.test102()
  103   24   2    0 randoop.RandoopTest4.test103()
  104    6   3    0 randoop.RandoopTest4.test104()
  105   15   2    0 randoop.RandoopTest4.test105()
  106   10   2    0 randoop.RandoopTest4.test106()
  107   12   2    0 randoop.RandoopTest4.test107()
  108   13   3    0 randoop.RandoopTest4.test108()
  109    4   2    0 randoop.RandoopTest4.test109()
  110    8   2    0 randoop.RandoopTest4.test110()
  111   13   2    0 randoop.RandoopTest4.test111()
  112   12   2    0 randoop.RandoopTest4.test112()
  113   16   2    0 randoop.RandoopTest4.test113()
  114   15   2    0 randoop.RandoopTest4.test114()
  115   16   2    0 randoop.RandoopTest4.test115()
  116   12   2    0 randoop.RandoopTest4.test116()
  117   10   2    0 randoop.RandoopTest4.test117()
  118   12   2    0 randoop.RandoopTest4.test118()
  119   22   2    0 randoop.RandoopTest4.test119()
  120   15   2    0 randoop.RandoopTest4.test120()
  121   10   2    0 randoop.RandoopTest4.test121()
  122   13   2    0 randoop.RandoopTest4.test122()
  123   14   2    0 randoop.RandoopTest4.test123()
  124   14   2    0 randoop.RandoopTest4.test124()
  125   14   2    0 randoop.RandoopTest4.test125()
  126   15   2    0 randoop.RandoopTest4.test126()
  127   12   2    0 randoop.RandoopTest4.test127()
  128   16   2    0 randoop.RandoopTest4.test128()
  129   11   2    0 randoop.RandoopTest4.test129()
  130    9   2    0 randoop.RandoopTest4.test130()
  131   13   2    0 randoop.RandoopTest4.test131()
  132   13   2    0 randoop.RandoopTest4.test132()
  133   13   2    0 randoop.RandoopTest4.test133()
  134   10   2    0 randoop.RandoopTest4.test134()
  135   15   2    0 randoop.RandoopTest4.test135()
  136   10   2    0 randoop.RandoopTest4.test136()
  137   13   2    0 randoop.RandoopTest4.test137()
  138   10   2    0 randoop.RandoopTest4.test138()
  139   16   2    0 randoop.RandoopTest4.test139()
  140   18   2    0 randoop.RandoopTest4.test140()
  141   18   2    0 randoop.RandoopTest4.test141()
  142    8   2    0 randoop.RandoopTest4.test142()
  143   17   2    0 randoop.RandoopTest4.test143()
  144   14   2    0 randoop.RandoopTest4.test144()
  145   22   3    0 randoop.RandoopTest4.test145()
  146   21   2    0 randoop.RandoopTest4.test146()
  147   16   2    0 randoop.RandoopTest4.test147()
  148   13   2    0 randoop.RandoopTest4.test148()
  149   12   2    0 randoop.RandoopTest4.test149()
  150   18   2    0 randoop.RandoopTest4.test150()
  151   26   2    0 randoop.RandoopTest4.test151()
  152   36   3    0 randoop.RandoopTest4.test152()
  153   17   2    0 randoop.RandoopTest4.test153()
  154   17   2    0 randoop.RandoopTest4.test154()
  155   11   2    0 randoop.RandoopTest4.test155()
  156   16   2    0 randoop.RandoopTest4.test156()
  157   10   2    0 randoop.RandoopTest4.test157()
  158   13   2    0 randoop.RandoopTest4.test158()
  159   26   3    0 randoop.RandoopTest4.test159()
  160   25   2    0 randoop.RandoopTest4.test160()
  161   11   2    0 randoop.RandoopTest4.test161()
  162   14   2    0 randoop.RandoopTest4.test162()
  163   12   2    0 randoop.RandoopTest4.test163()
  164   43   2    0 randoop.RandoopTest4.test164()
  165   13   2    0 randoop.RandoopTest4.test165()
  166   12   2    0 randoop.RandoopTest4.test166()
  167   14   2    0 randoop.RandoopTest4.test167()
  168    5   2    0 randoop.RandoopTest4.test168()
  169    4   2    0 randoop.RandoopTest4.test169()
  170    6   2    0 randoop.RandoopTest4.test170()
  171   12   2    0 randoop.RandoopTest4.test171()
  172    9   2    0 randoop.RandoopTest4.test172()
  173   42   3    0 randoop.RandoopTest4.test173()
  174   21   2    0 randoop.RandoopTest4.test174()
  175   11   2    0 randoop.RandoopTest4.test175()
  176   14   2    0 randoop.RandoopTest4.test176()
  177   14   2    0 randoop.RandoopTest4.test177()
  178   14   2    0 randoop.RandoopTest4.test178()
  179   37   3    0 randoop.RandoopTest4.test179()
  180    9   2    0 randoop.RandoopTest4.test180()
  181   13   2    0 randoop.RandoopTest4.test181()
  182   24   2    0 randoop.RandoopTest4.test182()
  183    4   2    0 randoop.RandoopTest4.test183()
  184   15   2    0 randoop.RandoopTest4.test184()
  185   11   2    0 randoop.RandoopTest4.test185()
  186   49   2    0 randoop.RandoopTest4.test186()
  187   15   2    0 randoop.RandoopTest4.test187()
  188   22   2    0 randoop.RandoopTest4.test188()
  189   29   2    0 randoop.RandoopTest4.test189()
  190   16   2    0 randoop.RandoopTest4.test190()
  191   10   2    0 randoop.RandoopTest4.test191()
  192   15   2    0 randoop.RandoopTest4.test192()
  193   19   2    0 randoop.RandoopTest4.test193()
  194    6   3    0 randoop.RandoopTest4.test194()
  195   11   2    0 randoop.RandoopTest4.test195()
  196   13   2    0 randoop.RandoopTest4.test196()
  197   23   2    0 randoop.RandoopTest4.test197()
  198    8   2    0 randoop.RandoopTest4.test198()
  199   20   2    0 randoop.RandoopTest4.test199()
  200   15   2    0 randoop.RandoopTest4.test200()
  201   16   2    0 randoop.RandoopTest4.test201()
  202   17   2    0 randoop.RandoopTest4.test202()
  203   14   2    0 randoop.RandoopTest4.test203()
  204   16   2    0 randoop.RandoopTest4.test204()
  205    9   2    0 randoop.RandoopTest4.test205()
  206    6   3    0 randoop.RandoopTest4.test206()
  207   16   2    0 randoop.RandoopTest4.test207()
  208   15   2    0 randoop.RandoopTest4.test208()
  209   12   2    0 randoop.RandoopTest4.test209()
  210   13   2    0 randoop.RandoopTest4.test210()
  211   10   2    0 randoop.RandoopTest4.test211()
  212   25   2    0 randoop.RandoopTest4.test212()
  213   12   2    0 randoop.RandoopTest4.test213()
  214   72   3    0 randoop.RandoopTest4.test214()
  215   14   2    0 randoop.RandoopTest4.test215()
  216   17   2    0 randoop.RandoopTest4.test216()
  217   13   2    0 randoop.RandoopTest4.test217()
  218    4   2    0 randoop.RandoopTest4.test218()
  219   19   2    0 randoop.RandoopTest4.test219()
  220   14   2    0 randoop.RandoopTest4.test220()
  221   18   2    0 randoop.RandoopTest4.test221()
  222   14   2    0 randoop.RandoopTest4.test222()
  223   16   2    0 randoop.RandoopTest4.test223()
  224   26   2    0 randoop.RandoopTest4.test224()
  225   16   2    0 randoop.RandoopTest4.test225()
  226   11   2    0 randoop.RandoopTest4.test226()
  227    5   2    0 randoop.RandoopTest4.test227()
  228   12   2    0 randoop.RandoopTest4.test228()
  229   13   2    0 randoop.RandoopTest4.test229()
  230   13   2    0 randoop.RandoopTest4.test230()
  231   15   2    0 randoop.RandoopTest4.test231()
  232   15   2    0 randoop.RandoopTest4.test232()
  233   16   2    0 randoop.RandoopTest4.test233()
  234   14   2    0 randoop.RandoopTest4.test234()
  235   20   2    0 randoop.RandoopTest4.test235()
  236   15   2    0 randoop.RandoopTest4.test236()
  237   11   2    0 randoop.RandoopTest4.test237()
  238    5   2    0 randoop.RandoopTest4.test238()
  239   14   2    0 randoop.RandoopTest4.test239()
  240   13   2    0 randoop.RandoopTest4.test240()
  241    6   2    0 randoop.RandoopTest4.test241()
  242   12   2    0 randoop.RandoopTest4.test242()
  243    6   2    0 randoop.RandoopTest4.test243()
  244   13   2    0 randoop.RandoopTest4.test244()
  245   14   2    0 randoop.RandoopTest4.test245()
  246    4   2    0 randoop.RandoopTest4.test246()
  247   10   2    0 randoop.RandoopTest4.test247()
  248    4   2    0 randoop.RandoopTest4.test248()
  249   11   2    0 randoop.RandoopTest4.test249()
  250   16   2    0 randoop.RandoopTest4.test250()
  251    6   3    0 randoop.RandoopTest4.test251()
  252   13   2    0 randoop.RandoopTest4.test252()
  253    6   3    0 randoop.RandoopTest4.test253()
  254   15   2    0 randoop.RandoopTest4.test254()
  255   12   2    0 randoop.RandoopTest4.test255()
  256   24   2    0 randoop.RandoopTest4.test256()
  257   22   2    0 randoop.RandoopTest4.test257()
  258    6   3    0 randoop.RandoopTest4.test258()
  259   14   2    0 randoop.RandoopTest4.test259()
  260   13   2    0 randoop.RandoopTest4.test260()
  261   20   2    0 randoop.RandoopTest4.test261()
  262   20   2    0 randoop.RandoopTest4.test262()
  263   12   2    0 randoop.RandoopTest4.test263()
  264   15   2    0 randoop.RandoopTest4.test264()
  265    4   2    0 randoop.RandoopTest4.test265()
  266   29   2    0 randoop.RandoopTest4.test266()
  267   11   2    0 randoop.RandoopTest4.test267()
  268   31   2    0 randoop.RandoopTest4.test268()
  269   15   2    0 randoop.RandoopTest4.test269()
  270   10   2    0 randoop.RandoopTest4.test270()
  271   15   2    0 randoop.RandoopTest4.test271()
  272   17   2    0 randoop.RandoopTest4.test272()
  273   17   2    0 randoop.RandoopTest4.test273()
  274    9   2    0 randoop.RandoopTest4.test274()
  275   32   3    0 randoop.RandoopTest4.test275()
  276   15   2    0 randoop.RandoopTest4.test276()
  277   18   2    0 randoop.RandoopTest4.test277()
  278    5   2    0 randoop.RandoopTest4.test278()
  279   26   2    0 randoop.RandoopTest4.test279()
  280   10   2    0 randoop.RandoopTest4.test280()
  281    4   2    0 randoop.RandoopTest4.test281()
  282   13   2    0 randoop.RandoopTest4.test282()
  283   16   2    0 randoop.RandoopTest4.test283()
  284    4   2    0 randoop.RandoopTest4.test284()
  285   12   2    0 randoop.RandoopTest4.test285()
  286   14   2    0 randoop.RandoopTest4.test286()
  287   21   2    0 randoop.RandoopTest4.test287()
  288   13   2    0 randoop.RandoopTest4.test288()
  289   15   2    0 randoop.RandoopTest4.test289()
  290   11   2    0 randoop.RandoopTest4.test290()
  291   13   2    0 randoop.RandoopTest4.test291()
  292   11   2    0 randoop.RandoopTest4.test292()
  293   16   2    0 randoop.RandoopTest4.test293()
  294   16   2    0 randoop.RandoopTest4.test294()
  295   13   2    0 randoop.RandoopTest4.test295()
  296   18   2    0 randoop.RandoopTest4.test296()
  297   15   2    0 randoop.RandoopTest4.test297()
  298   19   2    0 randoop.RandoopTest4.test298()
  299   14   2    0 randoop.RandoopTest4.test299()
  300   30   2    0 randoop.RandoopTest4.test300()
  301   13   2    0 randoop.RandoopTest4.test301()
  302   10   2    0 randoop.RandoopTest4.test302()
  303   10   2    0 randoop.RandoopTest4.test303()
  304   13   2    0 randoop.RandoopTest4.test304()
  305   11   2    0 randoop.RandoopTest4.test305()
  306   17   2    0 randoop.RandoopTest4.test306()
  307   17   2    0 randoop.RandoopTest4.test307()
  308   18   2    0 randoop.RandoopTest4.test308()
  309   17   2    0 randoop.RandoopTest4.test309()
  310   28   2    0 randoop.RandoopTest4.test310()
  311   16   2    0 randoop.RandoopTest4.test311()
  312   17   2    0 randoop.RandoopTest4.test312()
  313   12   2    0 randoop.RandoopTest4.test313()
  314   16   2    0 randoop.RandoopTest4.test314()
  315   20   2    0 randoop.RandoopTest4.test315()
  316   21   2    0 randoop.RandoopTest4.test316()
  317    5   2    0 randoop.RandoopTest4.test317()
  318   11   2    0 randoop.RandoopTest4.test318()
  319   18   2    0 randoop.RandoopTest4.test319()
  320   15   2    0 randoop.RandoopTest4.test320()
  321   12   2    0 randoop.RandoopTest4.test321()
  322   14   2    0 randoop.RandoopTest4.test322()
  323   18   2    0 randoop.RandoopTest4.test323()
  324   20   2    0 randoop.RandoopTest4.test324()
  325   16   2    0 randoop.RandoopTest4.test325()
  326   15   2    0 randoop.RandoopTest4.test326()
  327   14   2    0 randoop.RandoopTest4.test327()
  328   14   2    0 randoop.RandoopTest4.test328()
  329   15   2    0 randoop.RandoopTest4.test329()
  330   13   2    0 randoop.RandoopTest4.test330()
  331   22   2    0 randoop.RandoopTest4.test331()
  332   13   2    0 randoop.RandoopTest4.test332()
  333   13   2    0 randoop.RandoopTest4.test333()
  334   15   2    0 randoop.RandoopTest4.test334()
  335    5   2    0 randoop.RandoopTest4.test335()
  336   11   2    0 randoop.RandoopTest4.test336()
  337   17   2    0 randoop.RandoopTest4.test337()
  338   12   2    0 randoop.RandoopTest4.test338()
  339   12   2    0 randoop.RandoopTest4.test339()
  340   22   2    0 randoop.RandoopTest4.test340()
  341   14   2    0 randoop.RandoopTest4.test341()
  342   32   2    0 randoop.RandoopTest4.test342()
  343   15   2    0 randoop.RandoopTest4.test343()
  344   40   3    0 randoop.RandoopTest4.test344()
  345   13   2    0 randoop.RandoopTest4.test345()
  346    5   2    0 randoop.RandoopTest4.test346()
  347   11   2    0 randoop.RandoopTest4.test347()
  348   12   2    0 randoop.RandoopTest4.test348()
  349   15   2    0 randoop.RandoopTest4.test349()
  350   17   2    0 randoop.RandoopTest4.test350()
  351   15   2    0 randoop.RandoopTest4.test351()
  352   13   2    0 randoop.RandoopTest4.test352()
  353   15   2    0 randoop.RandoopTest4.test353()
  354    5   2    0 randoop.RandoopTest4.test354()
  355   11   2    0 randoop.RandoopTest4.test355()
  356   15   2    0 randoop.RandoopTest4.test356()
  357    8   2    0 randoop.RandoopTest4.test357()
  358   14   2    0 randoop.RandoopTest4.test358()
  359   17   2    0 randoop.RandoopTest4.test359()
  360   14   2    0 randoop.RandoopTest4.test360()
  361   11   2    0 randoop.RandoopTest4.test361()
  362   21   2    0 randoop.RandoopTest4.test362()
  363   24   2    0 randoop.RandoopTest4.test363()
  364   12   2    0 randoop.RandoopTest4.test364()
  365   10   2    0 randoop.RandoopTest4.test365()
  366    4   2    0 randoop.RandoopTest4.test366()
  367   15   2    0 randoop.RandoopTest4.test367()
  368    5   2    0 randoop.RandoopTest4.test368()
  369    6   3    0 randoop.RandoopTest4.test369()
  370    9   2    0 randoop.RandoopTest4.test370()
  371   11   2    0 randoop.RandoopTest4.test371()
  372   13   2    0 randoop.RandoopTest4.test372()
  373   23   2    0 randoop.RandoopTest4.test373()
  374   14   2    0 randoop.RandoopTest4.test374()
  375   14   2    0 randoop.RandoopTest4.test375()
  376   16   2    0 randoop.RandoopTest4.test376()
  377   16   2    0 randoop.RandoopTest4.test377()
  378   16   2    0 randoop.RandoopTest4.test378()
  379    5   2    0 randoop.RandoopTest4.test379()
  380   12   2    0 randoop.RandoopTest4.test380()
  381   16   2    0 randoop.RandoopTest4.test381()
  382   23   2    0 randoop.RandoopTest4.test382()
  383   14   2    0 randoop.RandoopTest4.test383()
  384   15   2    0 randoop.RandoopTest4.test384()
  385   12   2    0 randoop.RandoopTest4.test385()
  386   14   2    0 randoop.RandoopTest4.test386()
  387   22   2    0 randoop.RandoopTest4.test387()
  388   14   2    0 randoop.RandoopTest4.test388()
  389   10   2    0 randoop.RandoopTest4.test389()
  390   15   2    0 randoop.RandoopTest4.test390()
  391   10   2    0 randoop.RandoopTest4.test391()
  392   19   2    0 randoop.RandoopTest4.test392()
  393   22   2    0 randoop.RandoopTest4.test393()
  394   12   2    0 randoop.RandoopTest4.test394()
  395    8   2    0 randoop.RandoopTest4.test395()
  396   12   2    0 randoop.RandoopTest4.test396()
  397   13   2    0 randoop.RandoopTest4.test397()
  398   14   2    0 randoop.RandoopTest4.test398()
  399   12   2    0 randoop.RandoopTest4.test399()
  400   13   2    0 randoop.RandoopTest4.test400()
  401    9   2    0 randoop.RandoopTest4.test401()
  402   13   2    0 randoop.RandoopTest4.test402()
  403   14   2    0 randoop.RandoopTest4.test403()
  404   21   2    0 randoop.RandoopTest4.test404()
  405   16   2    0 randoop.RandoopTest4.test405()
  406    5   2    0 randoop.RandoopTest4.test406()
  407   17   2    0 randoop.RandoopTest4.test407()
  408   28   2    0 randoop.RandoopTest4.test408()
  409   10   2    0 randoop.RandoopTest4.test409()
  410   20   2    0 randoop.RandoopTest4.test410()
  411   20   2    0 randoop.RandoopTest4.test411()
  412   22   2    0 randoop.RandoopTest4.test412()
  413    5   2    0 randoop.RandoopTest4.test413()
  414   16   2    0 randoop.RandoopTest4.test414()
  415   12   2    0 randoop.RandoopTest4.test415()
  416    8   2    0 randoop.RandoopTest4.test416()
  417    9   2    0 randoop.RandoopTest4.test417()
  418   13   2    0 randoop.RandoopTest4.test418()
  419   11   2    0 randoop.RandoopTest4.test419()
  420    5   2    0 randoop.RandoopTest4.test420()
  421   10   2    0 randoop.RandoopTest4.test421()
  422   10   2    0 randoop.RandoopTest4.test422()
  423   18   2    0 randoop.RandoopTest4.test423()
  424   13   2    0 randoop.RandoopTest4.test424()
  425   38   2    0 randoop.RandoopTest4.test425()
  426   21   2    0 randoop.RandoopTest4.test426()
  427   10   2    0 randoop.RandoopTest4.test427()
  428   14   2    0 randoop.RandoopTest4.test428()
  429   10   2    0 randoop.RandoopTest4.test429()
  430   22   2    0 randoop.RandoopTest4.test430()
  431   12   2    0 randoop.RandoopTest4.test431()
  432   11   2    0 randoop.RandoopTest4.test432()
  433   12   2    0 randoop.RandoopTest4.test433()
  434   10   2    0 randoop.RandoopTest4.test434()
  435   21   2    0 randoop.RandoopTest4.test435()
  436    6   3    0 randoop.RandoopTest4.test436()
  437   13   2    0 randoop.RandoopTest4.test437()
  438    5   2    0 randoop.RandoopTest4.test438()
  439   15   2    0 randoop.RandoopTest4.test439()
  440   13   2    0 randoop.RandoopTest4.test440()
  441   16   2    0 randoop.RandoopTest4.test441()
  442   12   2    0 randoop.RandoopTest4.test442()
  443    6   2    0 randoop.RandoopTest4.test443()
  444   20   2    0 randoop.RandoopTest4.test444()
  445    4   2    0 randoop.RandoopTest4.test445()
  446    9   2    0 randoop.RandoopTest4.test446()
  447   15   2    0 randoop.RandoopTest4.test447()
  448    4   2    0 randoop.RandoopTest4.test448()
  449   26   2    0 randoop.RandoopTest4.test449()
  450   15   2    0 randoop.RandoopTest4.test450()
  451   23   2    0 randoop.RandoopTest4.test451()
  452    4   2    0 randoop.RandoopTest4.test452()
  453   14   2    0 randoop.RandoopTest4.test453()
  454   14   2    0 randoop.RandoopTest4.test454()
  455   16   2    0 randoop.RandoopTest4.test455()
  456   27   2    0 randoop.RandoopTest4.test456()
  457   13   2    0 randoop.RandoopTest4.test457()
  458   16   2    0 randoop.RandoopTest4.test458()
